t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785820930.291,0.000,WAIT,idle,-1,0,0.002,-0.053,0.003,-0.002,0.001,-0.002,1.5440
1785820930.391,0.000,WAIT,idle,-1,0,0.003,-0.053,0.002,0.000,-0.000,-0.002,1.5441
1785820930.491,0.000,WAIT,idle,-1,0,0.003,-0.053,0.002,-0.000,-0.002,-0.002,1.5442
1785820930.591,0.000,WAIT,idle,-1,0,0.003,-0.053,0.002,0.000,-0.002,-0.001,1.5443
1785820930.691,0.000,WAIT,idle,-1,0,0.003,-0.053,0.002,0.002,-0.002,0.002,1.5443
1785820930.791,0.000,WAIT,idle,-1,0,0.003,-0.053,0.003,0.003,-0.001,0.004,1.5441
1785820930.891,0.000,WAIT,idle,-1,0,0.003,-0.053,0.003,-0.000,-0.001,0.004,1.5440
1785820930.991,0.000,WAIT,idle,-1,0,0.003,-0.053,0.004,0.001,0.003,0.004,1.5441
1785820931.091,0.000,WAIT,idle,-1,0,0.003,-0.052,0.004,0.004,0.004,0.005,1.5440
1785820931.191,0.000,WAIT,idle,-1,0,0.004,-0.052,0.004,0.004,0.003,0.003,1.5441
1785820931.291,0.000,WAIT,idle,-1,0,0.004,-0.051,0.004,0.006,0.003,0.003,1.5442
1785820931.391,0.000,WAIT,idle,-1,0,0.004,-0.051,0.004,0.005,0.003,0.003,1.5443
1785820931.491,0.000,WAIT,idle,-1,0,0.004,-0.051,0.004,0.005,0.002,0.003,1.5444
1785820931.591,0.000,WAIT,idle,-1,0,0.004,-0.051,0.004,0.006,0.003,0.004,1.5443
1785820931.691,0.000,WAIT,idle,-1,0,0.004,-0.051,0.005,0.005,0.005,0.005,1.5445
1785820931.791,0.000,WAIT,idle,-1,0,0.004,-0.051,0.005,0.005,0.004,0.004,1.5444
1785820931.892,0.000,WAIT,idle,-1,0,0.004,-0.051,0.005,0.004,0.006,0.005,1.5443
1785820931.991,0.000,WAIT,idle,-1,0,0.004,-0.050,0.005,0.003,0.008,0.003,1.5442
1785820932.091,0.000,WAIT,idle,-1,0,0.003,-0.050,0.005,0.002,0.008,0.005,1.5443
1785820932.191,0.000,WAIT,idle,-1,0,0.003,-0.050,0.005,0.002,0.009,0.005,1.5443
1785820932.291,0.000,WAIT,idle,-1,0,0.003,-0.049,0.005,0.003,0.012,0.006,1.5443
1785820932.391,0.000,WAIT,idle,-1,0,0.003,-0.049,0.006,0.003,0.010,0.005,1.5445
1785820932.491,0.000,WAIT,idle,-1,0,0.003,-0.048,0.006,0.002,0.010,0.003,1.5444
1785820932.591,0.000,WAIT,idle,-1,0,0.003,-0.048,0.005,0.004,0.007,0.004,1.5443
1785820932.691,0.000,WAIT,idle,-1,0,0.003,-0.049,0.005,0.003,0.007,0.004,1.5442
1785820932.791,0.000,WAIT,idle,-1,0,0.003,-0.049,0.005,0.003,0.006,0.005,1.5440
1785820932.891,0.000,WAIT,idle,-1,0,0.003,-0.049,0.005,0.001,0.007,0.003,1.5441
1785820932.991,0.000,WAIT,idle,-1,0,0.002,-0.049,0.005,-0.000,0.006,0.005,1.5441
1785820933.091,0.000,WAIT,idle,-1,0,0.002,-0.049,0.005,-0.002,0.006,0.004,1.5440
1785820933.191,0.000,WAIT,idle,-1,0,0.001,-0.049,0.005,-0.002,0.006,0.005,1.5438
1785820933.291,0.000,WAIT,idle,-1,0,0.001,-0.049,0.005,-0.001,0.005,0.007,1.5438
1785820933.391,0.000,WAIT,idle,-1,0,0.001,-0.050,0.005,-0.003,0.004,0.007,1.5438
1785820933.491,0.000,WAIT,idle,-1,0,0.000,-0.050,0.005,-0.003,0.007,0.004,1.5437
1785820933.591,0.000,WAIT,idle,-1,0,0.000,-0.050,0.005,-0.000,0.007,0.004,1.5439
1785820933.691,0.000,WAIT,idle,-1,0,0.000,-0.050,0.005,0.002,0.006,0.003,1.5440
1785820933.791,0.000,WAIT,idle,-1,0,0.001,-0.050,0.004,0.002,0.004,0.002,1.5437
1785820933.891,0.000,WAIT,idle,-1,0,0.001,-0.050,0.004,-0.001,0.001,0.001,1.5437
1785820933.991,0.000,WAIT,idle,-1,0,0.001,-0.051,0.003,0.001,0.000,0.001,1.5438
1785820934.091,0.000,WAIT,idle,-1,0,0.001,-0.051,0.003,0.001,0.001,0.002,1.5438
1785820934.191,0.000,WAIT,idle,-1,0,0.001,-0.052,0.004,0.003,-0.001,0.006,1.5439
1785820934.291,0.000,WAIT,idle,-1,0,0.001,-0.052,0.005,0.002,0.000,0.008,1.5437
1785820934.391,0.000,WAIT,idle,-1,0,0.001,-0.052,0.006,0.003,0.000,0.009,1.5440
1785820934.491,0.000,WAIT,idle,-1,0,0.001,-0.052,0.007,0.001,-0.000,0.009,1.5441
1785820934.591,0.000,WAIT,idle,-1,0,0.001,-0.052,0.008,-0.001,0.000,0.009,1.5439
1785820934.691,0.000,WAIT,idle,-1,0,0.001,-0.052,0.009,-0.001,0.002,0.008,1.5442
1785820934.791,0.000,WAIT,idle,-1,0,0.000,-0.052,0.010,-0.003,0.001,0.010,1.5442
1785820934.891,0.000,WAIT,idle,-1,0,-0.000,-0.052,0.011,-0.005,0.001,0.008,1.5442
1785820934.991,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.012,-0.004,0.001,0.009,1.5441
1785820935.091,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.012,-0.004,0.002,0.011,1.5440
1785820935.191,0.000,WAIT,idle,-1,0,-0.001,-0.052,0.013,-0.005,0.003,0.011,1.5438
1785820935.291,0.000,WAIT,idle,-1,0,-0.001,-0.051,0.014,-0.002,0.004,0.009,1.5438
1785820935.391,0.000,WAIT,idle,-1,0,-0.001,-0.051,0.014,-0.002,0.005,0.006,1.5438
1785820935.491,0.000,WAIT,idle,-1,0,-0.001,-0.050,0.013,0.000,0.006,0.004,1.5440
1785820935.591,0.000,WAIT,idle,-1,0,-0.000,-0.049,0.013,0.000,0.006,0.005,1.5441
1785820935.691,0.000,WAIT,idle,-1,0,-0.000,-0.049,0.012,0.001,0.004,0.004,1.5442
1785820935.791,0.000,WAIT,idle,-1,0,0.000,-0.049,0.012,0.001,0.004,0.004,1.5441
1785820935.891,0.000,WAIT,idle,-1,0,0.001,-0.049,0.012,0.001,0.002,0.002,1.5441
1785820935.991,0.000,WAIT,idle,-1,0,0.001,-0.050,0.011,0.003,0.002,0.001,1.5437
1785820936.091,0.000,WAIT,idle,-1,0,0.002,-0.050,0.011,0.005,0.003,0.001,1.5436
1785820936.191,0.000,WAIT,idle,-1,0,0.002,-0.050,0.010,0.008,0.002,-0.002,1.5435
1785820936.291,0.000,WAIT,idle,-1,0,0.003,-0.050,0.009,0.009,0.001,-0.003,1.5434
1785820936.391,0.000,WAIT,idle,-1,0,0.004,-0.050,0.009,0.010,0.003,-0.003,1.5434
1785820936.491,0.000,WAIT,idle,-1,0,0.005,-0.050,0.008,0.009,0.003,-0.002,1.5435
