t,nav,armed,sp_x,sp_y,sp_alt,x,y,alt,eph,epv,xy_valid,z_valid,rst_xy,rst_z
38.104,2,1,nan,nan,nan,9.5252,-0.0991,4.5385,0.160,0.029,1,1,3,2
38.201,2,1,nan,nan,nan,9.5238,-0.1069,4.5204,0.164,0.029,1,1,3,2
38.308,2,1,nan,nan,nan,9.5241,-0.1176,4.5037,0.162,0.029,1,1,3,2
38.406,2,1,nan,nan,nan,9.5246,-0.1293,4.4848,0.161,0.029,1,1,3,2
38.501,2,1,nan,nan,nan,9.5257,-0.1355,4.4740,0.159,0.029,1,1,3,2
38.607,2,1,nan,nan,nan,9.5257,-0.1431,4.4581,0.163,0.029,1,1,3,2
38.701,2,1,nan,nan,nan,9.5241,-0.1450,4.4426,0.161,0.029,1,1,3,2
38.801,2,1,nan,nan,nan,9.5213,-0.1404,4.4258,0.165,0.029,1,1,3,2
38.905,2,1,nan,nan,nan,9.5182,-0.1351,4.4108,0.163,0.029,1,1,3,2
39.003,2,1,nan,nan,nan,9.5134,-0.1319,4.3966,0.161,0.029,1,1,3,2
39.106,2,1,nan,nan,nan,9.5042,-0.1265,4.3776,0.160,0.029,1,1,3,2
